player_name,team,bye,position,position_rank,adp,consensus_adp,overall_rank
Minnesota Vikings DST   (6),,,DST,6.0,194.0,168.2,159
Chase McLaughlin,TB,10.0,K,13.0,195.0,249.4,218
Jake Elliott,PHI,10.0,K,17.0,196.0,244.0,254
Tre' Harris,LAC,7.0,WR,75.0,196.0,196.0,225
Pat Freiermuth,PIT,9.0,TE,27.0,197.0,193.3,223
Cooper Kupp,SEA,11.0,WR,80.0,198.0,231.3,245
Chris Rodriguez Jr.,JAC,7.0,RB,45.0,199.0,147.0,141
Greg Dulcich,MIA,6.0,TE,29.0,199.3,199.3,226
Emanuel Wilson,SEA,11.0,RB,57.0,199.5,199.5,199
Kimani Vidal,LAC,7.0,RB,58.0,199.5,199.5,200
De'Zhaun Stribling,SF,8.0,WR,70.0,200.0,180.8,191
Justice Hill,BAL,13.0,RB,62.0,200.7,200.7,228
Antonio Williams,WAS,7.0,WR,71.0,201.0,201.0,201
Oronde Gadsden II,LAC,7.0,TE,20.0,201.0,159.4,156
Colby Parkinson,LAR,11.0,TE,33.0,202.0,202.0,257
Buffalo Bills DST   (7),,,DST,18.0,202.0,222.5,216
Evan McPherson,CIN,6.0,K,14.0,203.0,226.8,219
Tank Dell,HOU,8.0,WR,67.0,204.0,199.2,184
New York Giants DST   (8),,,DST,16.0,205.0,222.0,214
Cade Otton,TB,10.0,TE,25.0,205.0,205.0,204
Darnell Mooney,NYG,8.0,WR,72.0,205.5,205.5,205
Jordan James,SF,8.0,RB,63.0,205.7,205.7,229
Odell Beckham Jr.,NYG,8.0,WR,103.0,206.0,206.0,309
Atlanta Falcons DST   (11),,,DST,21.0,207.0,207.0,230
Tampa Bay Buccaneers DST   (10),,,DST,23.0,207.0,242.3,253
Ray Davis,BUF,7.0,RB,64.0,207.3,207.3,231
Shedeur Sanders,CLE,11.0,QB,30.0,208.0,237.3,249
Aaron Rodgers,PIT,9.0,QB,29.0,209.0,221.3,240
Chicago Bears DST   (10),,,DST,20.0,210.0,230.5,222
Andy Borregales,NE,11.0,K,16.0,210.0,210.0,232
Isaac TeSlaa,DET,6.0,WR,76.0,210.3,210.3,233
Adonai Mitchell,NYJ,13.0,WR,66.0,211.0,198.6,183
Sean Tucker,TB,10.0,RB,65.0,211.7,211.7,234
Zachariah Branch,ATL,11.0,WR,77.0,212.0,212.0,235
Miami Dolphins DST   (6),,,DST,29.0,212.0,255.0,282
Tyler Allgeier,ARI,14.0,RB,48.0,213.0,152.8,151
Nicholas Singleton,TEN,9.0,RB,60.0,213.0,213.0,211
Brandon Aiyuk,SF,8.0,WR,74.0,213.8,213.8,212
Justin Tucker,,,K,23.0,214.0,214.0,312
Ryan Flournoy,DAL,14.0,WR,85.0,214.0,214.0,260
Cincinnati Bengals DST   (6),,,DST,27.0,215.0,276.7,275
Matt Gay,LV,13.0,K,21.0,216.0,252.0,281
Gunnar Helm,TEN,9.0,TE,30.0,216.3,216.3,237
Trey Smack,GB,11.0,K,24.0,217.0,217.0,313
Darnell Washington,PIT,9.0,TE,35.0,218.0,269.0,306
Jacoby Brissett,ARI,14.0,QB,28.0,218.3,218.3,238
Omar Cooper Jr.,NYJ,13.0,WR,60.0,219.0,171.4,163
Las Vegas Raiders DST   (13),,,DST,28.0,220.0,277.0,276
Washington Commanders DST   (7),,,DST,31.0,221.0,263.0,292
Mike Washington Jr.,LV,13.0,RB,67.0,221.0,221.0,239
J.J. McCarthy,MIN,6.0,QB,31.0,222.0,262.0,262
Dontayvion Wicks,PHI,10.0,WR,87.0,222.5,222.5,266
Eli Stowers,PHI,10.0,TE,31.0,222.7,222.7,241
Kaytron Allen,WAS,7.0,RB,61.0,222.8,222.8,217
MarShawn Lloyd,GB,11.0,RB,73.0,223.0,223.0,267
Ja'Kobi Lane,BAL,13.0,WR,78.0,223.0,224.7,242
Carolina Panthers DST   (5),,,DST,25.0,224.0,265.3,265
Jake Tonges,SF,8.0,TE,34.0,225.0,225.0,269
Cyrus Allen,KC,5.0,WR,104.0,225.0,279.0,310
Philip Rivers,,,QB,37.0,226.0,226.0,320
Jalen Nailor,LV,13.0,WR,61.0,227.0,175.4,167
Kaelon Black,SF,8.0,RB,68.0,227.3,227.3,243
Jack Bech,LV,13.0,WR,79.0,227.7,227.7,244
Arizona Cardinals DST   (14),,,DST,30.0,228.0,260.5,290
George Holani,SEA,11.0,RB,74.0,228.5,228.5,270
Cole Kmet,CHI,10.0,TE,36.0,229.0,271.5,308
Tyreek Hill,,,WR,68.0,230.0,199.2,185
Indianapolis Colts DST   (13),,,DST,26.0,231.0,231.0,271
Younghoe Koo,,,K,25.0,231.0,231.0,322
Jauan Jennings,MIN,6.0,WR,63.0,232.0,177.6,169
Kirk Cousins,LV,13.0,QB,38.0,233.0,233.0,323
Dawson Knox,BUF,7.0,TE,37.0,233.0,286.0,315
Dominic Zvada,NYG,8.0,K,26.0,234.0,234.0,324
Jaydon Blue,DAL,14.0,RB,69.0,234.3,234.3,247
Evan Engram,DEN,10.0,TE,38.0,235.0,235.0,325
Jake Moody,WAS,7.0,K,27.0,235.0,235.0,326
Elic Ayomanor,TEN,9.0,WR,89.0,236.0,236.0,272
Tyler Bass,BUF,7.0,K,18.0,236.0,263.7,264
Ben Sauls,NYG,8.0,K,28.0,237.0,237.0,327
Germie Bernard,PIT,9.0,WR,90.0,237.5,237.5,273
Andre Szmyt,CLE,11.0,K,29.0,238.0,238.0,328
Jason Sanders,NYJ,13.0,K,30.0,239.0,239.0,330
Jaylen Wright,MIA,6.0,RB,70.0,239.7,239.7,250
KaVontae Turpin,DAL,14.0,WR,109.0,240.0,240.0,332
New Orleans Saints DST   (8),,,DST,22.0,240.7,240.7,251
Ted Hurst III,TB,10.0,WR,91.0,241.0,241.0,277
Ryan Fitzgerald,CAR,5.0,K,31.0,241.0,241.0,334
Christian Kirk,SF,8.0,WR,83.0,241.3,241.3,252
Emari Demercado,KC,5.0,RB,84.0,242.0,242.0,335
Joshua Palmer,BUF,7.0,WR,108.0,242.0,289.0,321
Matt Prater,,,K,32.0,243.0,243.0,336
Mike Gesicki,CIN,6.0,TE,40.0,244.0,244.0,337
Justin Fields,KC,5.0,QB,35.0,244.0,285.0,314
Ty Johnson,BUF,7.0,RB,75.0,244.5,244.5,278
Tyler Higbee,LAR,11.0,TE,41.0,245.0,245.0,338
Skyler Bell,BUF,7.0,WR,102.0,246.0,268.0,304
Nick Folk,ATL,11.0,K,20.0,246.0,246.0,279
Tennessee Titans DST   (9),,,DST,24.0,247.0,277.5,258
Jordan Whittington,LAR,11.0,WR,112.0,248.0,248.0,340
Jaylin Noel,HOU,8.0,WR,92.0,248.5,248.5,280
Ty Simpson,LAR,11.0,QB,33.0,249.0,290.7,289
Kendre Miller,NO,8.0,RB,85.0,249.0,249.0,341
Demond Claiborne,MIN,6.0,RB,66.0,249.8,249.8,236
Luke Musgrave,GB,11.0,TE,42.0,250.0,250.0,342
New York Jets DST   (13),,,DST,32.0,251.0,298.0,307
Geno Smith,NYJ,13.0,QB,40.0,251.0,251.0,343
Tommy DeVito,NE,11.0,QB,41.0,252.0,252.0,344
Chad Ryland,ARI,14.0,K,33.0,253.0,253.0,345
Brock Wright,DET,6.0,TE,43.0,254.0,254.0,346
David Njoku,LAC,7.0,TE,26.0,255.0,208.0,208
Mason Taylor,NYJ,13.0,TE,32.0,256.0,251.3,256
Luke Schoonmaker,DAL,14.0,TE,44.0,257.0,257.0,347
Tua Tagovailoa,ATL,11.0,QB,32.0,258.0,258.0,283
Caden Davis,,,K,34.0,258.0,258.0,349
Marvin Mims Jr.,DEN,10.0,WR,93.0,258.5,258.5,285
Najee Harris,LAC,7.0,RB,76.0,258.5,258.5,284
Hollywood Brown,PHI,10.0,WR,114.0,259.0,259.0,350
Eli Raridon,NE,11.0,TE,45.0,259.0,259.0,351
Rashod Bateman,BAL,13.0,WR,94.0,259.5,259.5,287
Jackson Hawes,BUF,7.0,TE,46.0,260.0,260.0,352
Samaje Perine,CIN,6.0,RB,78.0,260.0,260.0,288
Kyle Williams,NE,11.0,WR,88.0,261.0,266.0,268
Keenan Allen,LAC,7.0,WR,86.0,261.3,261.3,261
Lil'Jordan Humphrey,DEN,10.0,WR,115.0,262.0,262.0,355
Joe Milton III,DAL,14.0,QB,44.0,263.0,263.0,356
Pat Bryant,DEN,10.0,WR,95.0,263.0,263.0,293
Kaleb Johnson,PIT,9.0,RB,72.0,263.3,263.3,263
DJ Giddens,IND,13.0,RB,79.0,263.5,263.5,294
Tory Horton,SEA,11.0,WR,96.0,263.5,263.5,295
Mac Jones,SF,8.0,QB,39.0,264.0,295.5,331
Jalen Tolbert,MIA,6.0,WR,97.0,264.5,264.5,296
Keon Coleman,BUF,7.0,WR,98.0,264.5,264.5,297
Jameis Winston,NYG,8.0,QB,42.0,265.0,306.0,353
